storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP211993,ABE,1993,0,1,0,0.0,0,0.0,0.0,0.0,1,0.019915756514311433
WP211993,ABE,1993,1,2,0,0.0,0,0.0,0.0,0.0,1,0.026671023000467694
WP211993,ABE,1993,2,3,0,0.0,0,0.0,0.0,0.0,1,0.06197708480216147
WP211993,ABE,1993,3,4,0,0.0,0,0.0,0.0,0.0,1,0.06197708480216147
WP211993,ABE,1993,4,5,0,0.0,0,0.0,0.0,0.0,1,0.06197708480216147
WP211993,ABE,1993,5,6,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,6,7,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,7,8,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,8,9,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,9,10,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,10,11,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,11,12,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,12,13,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,13,14,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,14,15,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,15,16,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,16,17,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,17,18,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,18,19,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,19,20,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,20,21,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,21,22,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,22,23,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
WP211993,ABE,1993,23,24,0,0.0,0,0.0,0.0,0.0,1,0.11711607892128648
