storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP011970,NANCY,1970,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.06502390945832029
WP011970,NANCY,1970,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.08931691959505642
WP011970,NANCY,1970,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
WP011970,NANCY,1970,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
WP011970,NANCY,1970,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
WP011970,NANCY,1970,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
WP011970,NANCY,1970,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
WP011970,NANCY,1970,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
WP011970,NANCY,1970,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
WP011970,NANCY,1970,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
WP011970,NANCY,1970,10,11,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
WP011970,NANCY,1970,11,12,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1503106156698032
