storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP051960,OLIVE,1960,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP051960,OLIVE,1960,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP051960,OLIVE,1960,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.10620820897626361
WP051960,OLIVE,1960,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3047742406353879
WP051960,OLIVE,1960,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
WP051960,OLIVE,1960,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
WP051960,OLIVE,1960,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
WP051960,OLIVE,1960,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
WP051960,OLIVE,1960,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
WP051960,OLIVE,1960,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
WP051960,OLIVE,1960,10,11,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
WP051960,OLIVE,1960,11,12,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
WP051960,OLIVE,1960,12,13,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
WP051960,OLIVE,1960,13,14,0,0.0,0,0.0,0.0,0.0,1,1,0,0.5267266477672573
