storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP201973,RUTH,1973,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP201973,RUTH,1973,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP201973,RUTH,1973,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP201973,RUTH,1973,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.055907587426588856
WP201973,RUTH,1973,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.13075007473445532
WP201973,RUTH,1973,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.13075007473445532
WP201973,RUTH,1973,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.29356760945571103
WP201973,RUTH,1973,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.29356760945571103
WP201973,RUTH,1973,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.29356760945571103
WP201973,RUTH,1973,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.29356760945571103
